"PROVMUN","whichMax","Max","pcMax"
"14007","PSOE",5077,31.4696584640179
"14008","OTH",698,23.9533287577213
"14009","OTH",1031,35.8733472512178
"14010","PSOE",1615,39.8077397091447
"14011","PSOE",290,47.6973684210526
"14012","OTH",2327,36.7672618107126
"14013","PP",5096,30.0170819343818
"14014","PP",878,33.4348819497334
"14015","OTH",712,32.3195642305946
"14016","OTH",584,40.7536636427076
"14017","PSOE",3719,34.7342859811338
"14018","OTH",1205,31.7021836358853
"14019","OTH",1781,27.1866890551061
"14020","PSOE",196,46.88995215311
"14021","ABS",96712,37.2535197704204
"14022","PSOE",1591,36.324200913242
"14023","PP",1091,52.200956937799
"14024","PSOE",701,35.9671626475116
"14025","OTH",1195,38.9504563233377
"14026","PP",904,43.756050338819
"14027","OTH",2285,28.6197394789579
"14028","PSOE",188,56.2874251497006
"14029","PP",1539,35.1049270072993
"14030","PSOE",2311,26.944152967238
"14031","PSOE",248,38.9324960753532
"14032","PSOE",230,52.6315789473684
"14033","PSOE",465,35.796766743649
"14034","PSOE",178,48.3695652173913
"14035","PP",2537,40.9061593034505
"14036","ABS",974,25.4773737902171
"14037","PSOE",1459,40.248275862069
"14038","ABS",10900,34.3426068874256
"14039","PSOE",1090,40.1325478645066
"14040","OTH",1217,31.9003931847969
"14041","PSOE",1007,31.2248062015504
"14042","ABS",5569,29.29510783798
"14043","PSOE",2859,36.9475316619281
"14044","PSOE",609,38.2537688442211
"14045","PSOE",1347,43.3676754668384
"14046","OTH",2381,51.9302071973828
"14047","PP",474,30.306905370844
"14048","OTH",538,42.9369513168396
"14049","ABS",6804,40.1108294523374
"14050","OTH",789,32.5360824742268
"14051","PSOE",612,43.7768240343348
"14052","ABS",3521,36.1721799876721
"14053","PP",1838,30.3500660501981
"14054","ABS",3256,23.7265903956861
"14055","ABS",6577,33.533880589405
"14056","ABS",7820,33.3063588738873
"14057","OTH",2141,35.1271534044299
"14058","PSOE",2472,30.0693346308235
"14059","PP",327,46.1212976022567
"14060","PSOE",1179,24.3243243243243
"14061","PSOE",399,46.6666666666667
"14062","PP",488,44.0831074977416
"14063","PSOE",438,39.2825112107623
"14064","PSOE",178,50.1408450704225
"14065","PSOE",724,39.4980905619203
"14066","ABS",1483,25.0422154677474
"14067","PSOE",1421,37.5330163761226
"14068","PSOE",311,50.7340946166395
"14069","PSOE",2846,36.0481317289424
"14070","PP",699,50.2516175413372
"14071","PSOE",381,37.1707317073171
"14072","OTH",449,38.2453151618399
"14073","PP",1098,36.3215348991069
"14074","PSOE",1352,56.5217391304348
"14075","PSOE",292,46.9453376205788
"18001","PSOE",130,42.7631578947368
"18002","PSOE",322,51.0301109350238
"18003","ABS",4438,33.1045800387886
"18004","PSOE",505,58.6527293844367
"18005","OTH",167,45.0134770889488
"18006","PSOE",1308,30.7042253521127
"18007","PP",280,33.6538461538462
"18010","PSOE",216,37.1134020618557
"18011","PP",1327,31.20884289746
"18012","PP",1122,39.590684544813
"18013","PP",1933,43.7726449275362
"18014","PP",2094,37.4932855863921
"18015","PP",182,39.1397849462366
"18016","PSOE",226,60.5898123324397
"18017","ABS",6285,33.2891949152542
